Longitude,Latitude,Value
37.706921,55.619409,177453
37.708105,55.625729,175330
37.736851,55.627335,185402
37.487179,55.836766,202381
37.491209,55.828039,213262
37.725383,55.650445,168765
37.571066,55.797955,158476
37.61821,55.89379,212821
37.807243,55.816424,177446
37.534013,55.877219,152829
37.563003,55.860847,194444
37.41863,55.730394,131579
37.450338,55.806635,335313
37.511728,55.640131,230238
37.523833,55.661819,242511
37.712043,55.875569,186532
37.632979,55.894505,157556
37.515426,55.636145,218163
37.824907,55.737848,158696
37.720982,55.744957,171721
37.760025,55.72818,138400
37.788042,55.754942,168182
37.563658,55.684973,222762
37.669015,55.62579,181608
37.748554,55.670187,151437
37.77684,55.916134,85610
37.860655,55.911445,89822
37.528152,55.724695,577198
37.900715,55.974854,97744
37.876139,55.676383,144186
38.205164,55.586414,70539
37.85966,56.054731,73257
37.56684,55.509012,142847
37.658968,55.743876,368571
37.609729,55.713076,428685
37.592806,55.771587,418594
37.545199,55.54299,148553
37.60238,55.743465,442857
37.968116,55.609232,90853
37.400014,55.644591,141385
37.367963,55.650576,188372
37.173213,55.987329,128300
37.874324,55.751357,137143
37.291712,55.945805,98896
37.409712,55.903063,125727
37.369733,55.841929,166667
37.655397,55.885155,230129
37.475232,55.158962,66824
37.47423,55.145568,65471
37.890221,55.141408,33206
37.854217,55.762179,150139
37.233989,55.768907,92738
37.742789,55.549883,124265
37.551601,55.493489,136548
37.461797,55.531416,103333
38.426839,55.772035,65249
38.428987,55.803156,74065
38.656524,55.770117,39773
38.770613,55.892264,26007
37.982666,55.937968,80966
37.642942,55.731766,448558
37.713616,55.614855,209094
37.749109,55.605328,150000
37.471987,55.858125,258836
37.725305,55.636041,175161
37.503097,55.822159,182340
37.563216,55.809079,157763
37.542375,55.89446,140478
37.528178,55.866242,188758
37.761362,55.805664,180112
37.524552,55.888143,462121
37.80087,55.789128,93051
37.465651,55.707812,192857
37.502137,55.708967,204610
37.555944,55.687748,227273
37.589942,55.684767,229506
37.486498,55.644052,219125
37.544094,55.667269,208039
37.595109,55.600642,176307
37.600679,55.657214,156410
37.811474,55.720045,216667
37.483099,55.626957,192891
37.793351,55.759111,180828
37.785238,55.723955,175000
37.818667,55.720499,149504
37.75227,55.681748,165598
37.762951,55.679522,170567
37.821706,55.69569,155300
37.844558,56.015461,100000
37.397407,55.717931,134328
37.828801,56.006985,73356
37.968914,55.747397,83539
38.024116,55.739667,91858
37.661035,55.721129,216059
38.054913,55.909982,64159
37.753208,55.914059,121427
37.716546,55.546381,115625
37.582069,55.778827,297724
37.892491,55.588023,80755
37.677129,55.787895,210448
38.210654,55.587882,83858
37.868418,55.752455,167102
37.547698,55.665463,362261
37.593558,55.750353,555252
37.428819,55.880165,103316
37.367503,55.878813,106250
37.345038,55.855901,170430
37.381387,55.837802,195100
37.592135,55.825979,195722
37.408304,55.730762,176034
38.03466,55.959595,83638
37.474776,55.146431,54722
37.339807,55.728434,165782
36.913931,55.497794,75283
38.786535,55.875318,48026
38.560549,55.431006,36170
38.735818,55.265153,23171
38.959322,55.813053,45745
38.967988,55.805415,43958
37.392807,55.519353,124138
37.571073,55.72173,1084479
37.491814,55.875132,155556
37.559058,55.813418,185714
37.496915,55.811399,296418
37.559158,55.883313,164274
37.466544,55.864295,194238
37.538247,55.759885,237326
37.717036,55.807608,175281
37.61574,55.652009,188360
37.609691,55.656126,199412
37.675826,55.8587,186290
37.599239,55.632849,209375
37.510305,55.630702,224510
37.775833,55.761162,198125
37.76122,55.71,179805
37.79884,55.719621,162877
37.766771,55.680317,177790
37.577498,55.681343,238356
37.666035,55.63613,194450
37.655537,55.645858,189685
37.72188,55.904823,122175
37.835384,55.923687,91782
38.003124,55.750312,96619
37.728574,55.906578,128216
37.677829,55.703578,188216
37.999392,55.932261,60336
37.694039,55.860151,160012
37.759663,55.926084,104409
37.827912,55.920766,78333
37.990654,55.914687,73604
37.950387,55.502959,64393
37.539253,55.422408,96311
37.522772,55.784823,305055
37.487781,55.798212,181997
37.62116,55.714211,259674
38.126787,55.59211,104708
37.596226,55.761564,561224
37.533088,55.447312,45192
38.176717,55.577592,48319
37.154827,55.97078,142634
37.473136,56.028291,107576
37.178074,55.975597,171364
37.296275,55.942598,110200
37.253936,55.682556,107955
37.594202,55.791053,233514
37.508687,55.937715,163333
37.22495,55.660188,133025
36.868479,55.723994,66204
37.490435,55.567493,154814
38.131942,55.896442,67676
37.209219,55.627633,84191
37.232825,55.659377,155871
37.04524,55.600837,117111
36.989316,56.190462,53111
36.981966,56.179877,62663
38.862356,55.05769,51773
39.053788,55.374893,37736
38.474048,55.44831,51049
38.63046,55.311419,48193
38.431464,55.853549,80840
38.965868,55.808614,54561
37.585033,55.822039,228986
37.983808,55.602481,85530
37.393603,55.875785,122257
37.734361,55.437061,103719
37.412555,55.918387,122314
37.707983,55.561141,103841
37.724047,55.534185,99145
37.468043,55.555123,209636
37.604276,55.868631,169492
37.492509,55.871442,200447
37.483263,55.859402,190750
37.598577,55.829242,184375
37.717637,55.645129,138630
37.768539,55.664729,169830
37.811734,55.802131,160714
37.740933,55.799813,204673
37.467411,55.867059,193629
37.561615,55.863363,175000
37.741495,55.780301,158621
37.41394,55.758993,232586
37.409848,55.765809,252426
37.683356,55.853149,163474
37.530629,55.674081,229343
37.527235,55.637259,198690
37.51788,55.67065,215765
37.650369,55.826566,223217
37.833998,55.720303,147027
37.769997,55.705758,178708
37.745249,55.677064,151971
37.816998,55.694652,162524
37.744687,55.667271,151353
37.737057,55.906881,89646
37.823066,55.921331,117742
37.84473,56.011093,108333
38.040082,55.963142,73414
37.694871,55.583243,150401
38.029387,55.746743,77498
38.089712,55.760331,80650
37.570283,55.814077,215901
37.868135,55.923006,124591
37.866702,55.692997,155495
37.658422,55.783721,226594
37.906023,55.578414,102595
37.975117,55.945423,93750
38.074859,55.95733,54126
37.630228,55.769073,373134
37.646774,55.765078,408693
37.686497,55.540065,108333
37.931692,56.063835,46429
38.011553,55.748054,91968
37.474272,55.975982,95324
37.39921,55.886512,183333
37.337143,55.821657,96061
37.179324,55.681249,114157
37.248822,55.679909,121800
37.299166,55.685657,124826
37.198728,55.691472,95961
37.121529,55.871821,67669
37.425567,55.855171,218150
37.638706,55.867922,201797
38.088144,55.604054,113742
37.426682,55.160299,70421
37.522689,55.308301,62853
37.538485,55.239817,61718
37.470502,55.690011,265723
37.478755,55.567547,162638
37.848781,55.9656,106349
37.927956,55.884242,60345
36.984382,56.184488,84757
38.432697,56.1376,40000
38.427601,56.136633,41517
39.052512,55.375771,59840
38.757615,55.091005,67238
38.785413,55.08256,53571
38.23207,55.56565,95408
38.606662,55.202105,47960
38.656812,55.31522,51125
38.428146,55.767501,74129
37.139449,55.8258,80535
37.716652,55.540795,123640
37.570493,55.904193,185973
37.771188,55.642419,162364
37.829183,55.826237,159722
37.484262,55.781509,259821
37.562592,55.799193,199858
37.568741,55.829953,209091
37.44732,55.863163,185366
37.591543,55.591432,163014
37.575131,55.776657,272497
37.742395,55.69956,147677
37.521623,55.755655,248652
37.488637,55.696106,234393
37.491853,55.699152,221212
37.5161,55.67929,268293
37.435125,55.825312,189927
37.400287,55.838595,173114
37.822521,55.716698,149432
37.731805,55.906361,103267
37.782634,55.914383,103809
37.969308,55.817101,90833
37.970033,55.79927,109375
37.425204,55.729767,176923
37.975015,55.746619,65554
37.857664,56.005123,78788
37.402262,55.743367,210847
37.660858,55.722155,214707
37.852013,55.749505,152876
37.864368,55.746172,145720
38.180156,55.809458,67460
37.711876,55.550939,87177
37.865864,55.909998,104613
37.54905,55.705753,994906
38.140168,55.583896,91667
37.875457,55.743094,172000
37.8557,55.736033,170872
37.539066,55.417783,83625
37.523667,55.41337,101515
37.571446,55.550243,163972
37.745131,55.451009,100313
38.119985,55.596385,91423
37.452241,55.897505,96264
37.364979,55.843759,200000
37.454607,56.006756,106652
37.176767,55.840042,107269
37.597659,55.826692,237707
37.482021,55.859371,251491
37.711512,55.909967,127979
37.431467,55.167245,73125
37.398616,55.876108,127681
37.448063,55.122726,68972
37.033895,56.218497,72222
38.097457,55.02884,55314
38.857324,55.097223,41290
38.264854,55.83385,63235
39.062251,55.37509,37310
38.760869,55.096125,86916
38.675302,55.763833,52240
38.75486,55.273818,44156
37.613489,55.534089,111249
37.323704,55.633666,176911
37.847579,55.784882,125628
37.38551,55.645878,173805
37.519907,55.882242,161165
37.492352,55.862444,189394
37.492619,55.847536,206128
37.691359,55.640098,156141
37.709927,55.643601,173643
37.587415,55.831865,210129
37.79129,55.809666,216304
37.758652,55.823649,173588
37.457298,55.713912,260000
37.582233,55.764462,385966
37.586746,55.682397,212766
37.584074,55.648035,197619
37.610827,55.594901,180000
37.618618,55.713175,278571
37.767089,55.678639,158060
37.52528,55.80931,283261
37.578708,55.825944,191917
37.963559,55.812645,140916
37.641734,55.590544,150457
37.697045,55.585796,160093
37.856515,55.752556,142000
37.596995,55.81364,213604
37.88601,55.691087,114702
37.881973,55.679677,112733
38.198403,55.870351,62903
38.135546,55.586747,102679
37.583364,55.597983,195155
37.574294,55.407332,99644
37.534344,55.419115,106438
37.526471,55.424308,104000
37.449015,55.780926,276286
37.613777,55.775198,254237
37.967203,55.816346,90975
38.002566,55.92543,82998
37.570892,55.422571,85737
37.644887,55.722674,318261
38.055712,55.757805,72297
37.255356,55.611743,124202
37.265209,55.672967,105381
37.357879,55.782353,155000
37.576275,55.500718,141071
37.934814,55.762075,102189
37.649684,55.757184,738565
37.488415,56.024928,101790
37.869785,55.75281,156529
37.731773,55.58479,162934
37.586616,55.761023,368400
38.035094,55.958762,82217
37.508883,55.87888,148721
36.996713,56.184055,70046
