Longitude,Latitude,Value
83.070888,55.04297,26750
82.913235,55.033396,61667
82.983639,55.036718,69946
83.106929,54.840149,106700
82.399033,55.439865,7292
82.955592,55.015914,78451
82.889162,54.981601,89535
83.061092,54.965091,51195
82.208226,55.005902,37154
82.914758,54.936166,53938
83.007628,54.945438,58195
82.991229,54.923225,53710
82.92337,54.939285,72624
83.018135,55.022989,57212
82.967109,54.993344,104887
83.057946,54.74858,49443
82.86762,54.982176,49875
83.048991,54.977209,80967
83.114033,54.761293,42491
82.962982,54.944594,38280
83.099514,54.864319,81713
83.092657,54.973154,29772
82.903422,55.030784,79894
83.043625,54.850512,43902
82.855943,54.976353,43898
83.61539,55.306014,30488
81.157979,54.385805,9894
82.92949,55.506532,14778
82.962306,55.068162,73750
82.956203,54.962922,63000
82.888531,54.996935,59508
82.906355,54.99689,72075
82.965343,55.067879,65824
82.91747,55.07259,53125
82.811881,55.070081,114378
82.967943,54.944626,43090
83.072888,54.974531,62784
82.779094,54.89026,40000
82.904279,55.07753,55852
82.961543,54.941404,36691
82.862798,55.024737,64750
82.9385,55.073847,84938
82.879521,54.96733,36607
82.908685,55.038836,64894
83.08248,54.732538,46757
82.937044,54.917922,52500
83.07421,54.770164,63184
82.968342,55.022424,67049
82.969485,55.010356,64894
82.917319,54.938983,54027
82.927654,55.063793,69944
82.930689,55.063126,59821
82.824443,55.066265,80986
83.065074,54.947736,64706
83.084919,54.764025,54884
82.970178,54.861206,53994
82.906251,55.047354,100037
83.001841,55.012742,46496
83.061898,54.740187,47849
82.897625,54.987994,65956
82.971143,55.07445,67742
82.87013,55.136726,114381
83.012217,55.033903,60339
82.971281,54.991185,101199
82.884977,54.976779,39674
82.956104,55.032157,75588
83.123181,54.936827,51163
82.966055,55.001749,35815
83.087538,54.868129,60073
83.336251,54.990279,30172
83.33147,54.299164,14143
82.946328,55.042653,71526
83.097706,54.84202,97383
82.857827,54.991767,63985
82.875919,54.99248,97120
83.107781,54.763212,45763
83.348358,54.299696,12281
82.902615,55.030473,79032
83.095691,54.764857,45000
82.852838,54.991328,60301
82.975063,54.959383,55134
82.930874,55.054261,82742
83.19189,54.945266,68553
82.948273,55.011881,78729
82.928469,55.036014,84446
83.066837,54.747407,45894
82.868995,54.998516,53571
83.057458,54.980978,72892
83.181511,54.842255,71111
83.273957,54.653395,35366
83.042009,54.851838,57690
82.849198,54.982905,50682
82.965876,55.138412,45060
82.88974,54.993097,92221
82.851424,54.983494,44743
82.985827,55.007769,39063
82.966451,54.957539,63203
82.813427,55.068185,130929
82.910572,55.052906,82559
82.954812,55.042104,69298
82.973028,54.958185,65479
82.917556,55.057052,80019
82.973134,55.060602,50590
82.814972,54.980342,66040
83.060098,54.739858,64185
83.139453,55.189615,43436
83.118046,54.752231,45349
82.921833,54.937316,77217
82.984886,55.043506,88322
83.058987,54.966641,68333
83.072867,54.977673,56667
83.018805,55.005611,73729
82.900537,55.110873,34382
82.918646,54.937822,56341
82.842105,54.989486,59211
82.971621,54.996058,65237
82.863571,54.966583,66739
82.909179,55.21939,42184
82.870313,55.042338,51563
83.087639,54.862294,73333
83.106604,54.761449,43496
83.008329,55.04903,18966
83.121341,54.754482,42765
82.920934,55.041751,74757
82.772432,55.09746,41667
83.04721,54.978279,70709
82.882501,54.992897,54237
83.146235,54.980573,77089
83.108863,54.754824,31429
82.969007,55.076234,66279
82.911973,55.051274,77727
82.904223,55.103707,129304
82.845241,54.988833,58979
82.975973,55.109613,59213
83.091293,54.818226,71459
82.914082,55.047977,81163
82.972089,54.85269,52557
83.048491,54.854496,65787
82.935481,55.072126,74512
82.962457,55.045003,85603
82.684691,54.989492,61229
83.01098,55.00306,66637
83.058419,54.744163,56291
82.456157,55.009635,50897
82.872779,54.97874,65099
82.976415,55.032555,76136
82.909447,55.025785,91349
82.966973,54.993879,101638
82.950657,55.113342,61704
82.835647,54.974628,67391
82.903266,55.076691,52857
83.107345,54.836305,89521
82.866922,54.83086,35714
82.929332,55.036896,95788
82.693052,54.998259,54878
82.908352,54.979317,68100
83.106774,54.967889,64000
82.978325,54.859135,46944
82.988769,54.923848,56116
82.88563,55.038425,32432
82.967331,55.110679,58454
82.983699,55.043696,90177
82.986391,55.038094,60127
82.891501,54.997514,51188
83.056636,54.739096,59935
82.981074,55.036596,80865
83.015346,55.049922,20000
82.96466,55.024078,69358
83.332674,54.98573,14286
83.109064,54.834253,99380
81.548921,54.093106,9825
82.872549,54.991076,75784
82.955276,55.043893,69348
82.930609,55.04215,80473
83.299136,54.642839,40833
83.110896,54.96657,55153
82.962033,54.945011,34147
82.845219,54.936228,52989
82.991784,55.170219,39481
83.302981,54.639235,34091
82.955423,55.037063,62032
82.831406,54.966111,64891
83.303377,54.623091,43919
82.81288,54.992058,68561
82.895677,54.994401,64675
82.907397,54.939704,55144
83.117605,54.938646,58923
82.974265,55.039464,84839
82.988937,54.863927,45161
82.768537,55.096088,60245
82.892578,54.99218,75152
82.796696,54.987,25500
83.178268,54.942669,47913
82.910393,54.963467,36765
82.969243,55.110292,60000
83.301182,54.65117,25641
83.12837,54.940865,51359
82.942753,55.108868,71422
82.966454,55.069029,53843
83.041878,54.851406,51303
82.907262,54.966076,58564
82.885045,54.993845,54783
83.098085,54.761109,50889
82.912668,55.028144,134675
82.908143,54.99275,67937
83.081872,54.861406,61431
83.512074,54.876834,1940
83.010073,55.050548,36737
82.904664,54.935733,62511
82.963501,55.052218,79065
83.095657,54.819093,10000
82.881386,54.978342,59167
83.375691,54.452357,41176
82.905833,54.966485,44000
82.970951,55.098448,60465
82.954248,55.010039,62413
82.982872,55.000192,39648
83.108462,54.838441,106548
82.964185,55.175153,45352
82.960278,54.945658,40281
82.841037,54.992111,59463
83.126042,54.941167,51315
82.809009,54.991578,51940
82.983729,54.862901,42833
83.070625,54.92353,33540
83.008121,55.001766,74538
82.729258,54.987562,40625
83.842278,55.209019,33149
83.009273,55.053397,42683
82.926903,55.044094,77760
82.863762,54.978601,63732
82.965754,55.054911,54142
82.973381,54.949029,35864
82.902178,54.973243,64895
82.951532,55.07296,64545
82.891864,55.054892,80000
82.940338,55.044896,79364
82.934642,55.062553,70379
82.966242,55.010257,67546
83.050367,54.746132,39160
82.927585,55.053615,114599
82.956411,54.969962,45833
83.013807,55.018948,54184
82.905369,55.042041,81667
82.950415,54.999162,60029
82.99806,55.044136,63849
82.95801,54.953747,55670
83.007973,54.943436,45811
82.852344,55.153506,80731
82.958713,55.00583,67154
83.1062,54.754876,56954
82.922986,54.931535,54671
82.833363,54.989821,48970
82.87889,54.946588,53680
82.86051,54.971858,41025
83.073388,54.770677,50000
82.961509,55.042099,73203
83.121526,54.943406,62791
82.205535,55.004747,31373
83.017459,55.05175,31000
82.975322,54.990989,93726
82.805474,54.980448,62652
82.84325,54.9715,66348
83.107323,54.968981,55830
82.931915,55.014294,96923
82.969163,55.078023,57143
82.917006,54.987737,101266
82.916787,54.934312,53221
83.080934,54.767024,48525
82.896601,54.96524,66838
82.959506,55.041611,88404
83.016304,55.022143,65915
82.870411,54.974491,49329
82.871626,54.979604,60714
83.010612,55.022198,60323
82.984659,54.923858,60392
83.111998,54.838179,94026
82.752465,54.973668,75439
82.934492,55.061287,56667
82.91746,54.990693,126002
83.060705,54.74129,48915
82.847851,54.992387,64194
83.193017,54.937486,73893
82.94555,55.069125,70122
83.007465,54.988218,48280
82.978277,55.030338,93446
82.929872,55.042633,104647
82.911558,55.027525,94379
82.909853,55.057369,81795
82.976477,55.009286,48571
82.994306,55.034318,69894
82.988909,54.858816,46704
82.962874,54.941453,38018
82.824659,54.987806,34832
82.884165,54.9831,69286
82.951747,55.064202,72917
83.080886,54.765787,58658
82.906124,55.060945,94552
82.854436,54.975957,48333
83.070876,54.734496,60000
82.985109,55.15776,59633
82.949635,55.075402,62743
82.923552,55.071835,69328
82.909179,54.964733,42623
82.900792,54.984696,87097
82.974228,54.958603,47655
82.901564,54.98582,66542
82.920848,55.170325,94091
82.809228,55.030126,56736
82.190784,55.005472,33380
82.864823,54.96485,60588
83.01993,55.0058,58496
83.327883,54.571274,38462
